mouseReads	humanReads	mouseMT	humanMT	mouseNuclearReads	humanNuclearReads	nuclearMouseHumanRatio	mtMouseHumanRatio	fracMito	totalAlignedReads
143	5396	51	3032	92	2364	0.038917089678511	0.016820580474934	0.556598664018776	5539
44	1590	2	1461	42	129	0.325581395348837	0.00136892539356605	0.895348837209302	1634
503	40184	181	18202	322	21982	0.0146483486488945	0.00994396220195583	0.451815076068523	40687
419	47808	55	13853	364	33955	0.0107200706817847	0.00397025914964268	0.288386173720115	48227
14	3063	5	2269	9	794	0.0113350125944584	0.00220361392684002	0.739031524211895	3077
13	956	0	317	13	639	0.0203442879499218	0	0.327141382868937	969
76	33766	16	20144	60	13622	0.00440463955366319	0.00079428117553614	0.595709473435376	33842
602	17439	180	10860	422	6579	0.0641434868521052	0.0165745856353591	0.611939471204479	18041
400	2241	54	1441	346	800	0.4325	0.0374739764052741	0.566073457023855	2641
215	41598	10	17171	205	24427	0.00839235272444426	0.000582377263991614	0.410900915983067	41813
664	7	132	7	532	0	Inf	18.8571428571429	0.207153502235469	671
25	1069	2	348	23	721	0.0319001386962552	0.00574712643678161	0.319926873857404	1094
11212	52	784	23	10428	29	359.586206896552	34.0869565217391	0.0716441761363636	11264
87	1369	34	909	53	460	0.115217391304348	0.0374037403740374	0.647664835164835	1456
183	25124	37	11328	146	13796	0.0105827776167005	0.00326624293785311	0.449085233334651	25307
607	9349	73	6886	534	2463	0.216808769792935	0.0106012198663956	0.698975492165528	9956
513	13357	283	1888	230	11469	0.0200540587671113	0.14989406779661	0.156524873828407	13870
4517	10406	1640	4367	2877	6039	0.476403378042722	0.375543851614381	0.402533002747437	14923
687	7154	129	4380	558	2774	0.201153568853641	0.0294520547945205	0.575054202270119	7841
40538	622	6234	374	34304	248	138.322580645161	16.668449197861	0.160544217687075	41160
3481	4792	0	3482	3481	1310	2.65725190839695	0	0.420887223498126	8273
2327	5	936	3	1391	2	695.5	312	0.402658662092624	2332
35893	264	8877	103	27016	161	167.801242236025	86.1844660194175	0.248361313162043	36157
874	10653	151	3301	723	7352	0.0983405875952122	0.0457437140260527	0.299470807668951	11527
914	79	254	67	660	12	55	3.7910447761194	0.323262839879154	993
43	5006	30	2672	13	2334	0.00556983718937446	0.0112275449101796	0.535155476331947	5049
156	23445	40	8910	116	14535	0.00798073615411077	0.00448933782267116	0.379221219439854	23601
170	963	27	783	143	180	0.794444444444444	0.0344827586206897	0.714916151809356	1133
178802	1372	17970	112	160832	1260	127.644444444444	160.446428571429	0.100358542298001	180174
610	699	200	342	410	357	1.1484593837535	0.584795321637427	0.414056531703591	1309
14571	40	3665	20	10906	20	545.3	183.25	0.252207241119704	14611
1664	10	706	5	958	5	191.6	141.2	0.424731182795699	1674
29	2140	0	1589	29	551	0.0526315789473684	0	0.732595666205625	2169
111	2151	0	190	111	1961	0.0566037735849057	0	0.0839964633068081	2262
193	16865	36	4879	157	11986	0.0130986150508927	0.00737856118056979	0.28813459960136	17058
735	1658	33	533	702	1125	0.624	0.0619136960600375	0.236523192645215	2393
12221	165	5416	47	6805	118	57.6694915254237	115.234042553191	0.441062489907961	12386
480	78	0	30	480	48	10	0	0.0537634408602151	558
33	1408	0	883	33	525	0.0628571428571429	0	0.612768910478834	1441
20001	11369	116	1444	19885	9925	2.00352644836272	0.0803324099722992	0.0497290404845394	31370
1991	21	859	7	1132	14	80.8571428571429	122.714285714286	0.430417495029821	2012
96	6282	1	3421	95	2861	0.0332051730164278	0.000292312189418299	0.536531828159298	6378
757	12	2	9	755	3	251.666666666667	0.222222222222222	0.0143042912873862	769
15554	637	2788	509	12766	128	99.734375	5.47740667976424	0.203631647211414	16191
365	297	2	49	363	248	1.46370967741935	0.0408163265306122	0.0770392749244713	662
992	21839	88	14569	904	7270	0.124346629986245	0.00604022239000618	0.641978012351627	22831
899	2	469	0	430	2	215	Inf	0.520532741398446	901
1274	82533	156	23580	1118	58953	0.0189642596644785	0.00661577608142494	0.28322216521293	83807
251216	1175	7286	578	243930	597	408.592964824121	12.6055363321799	0.031158004841694	252391
5569	187	2389	147	3180	40	79.5	16.2517006802721	0.440583738707436	5756
178	5434	4	2296	174	3138	0.0554493307839388	0.00174216027874564	0.409836065573771	5612
1137	20	767	20	370	0	Inf	38.35	0.680207433016422	1157
3094	21713	2030	11995	1064	9718	0.10948754887837	0.169237182159233	0.56536461482646	24807
152	3476	72	1542	80	1934	0.0413650465356774	0.0466926070038911	0.444873208379272	3628
372	4386	257	3421	115	965	0.119170984455959	0.0751242326805028	0.773013871374527	4758
11043	172	2146	105	8897	67	132.791044776119	20.4380952380952	0.200713330361123	11215
312	989	11	340	301	649	0.463790446841294	0.0323529411764706	0.269792467332821	1301
167	25185	2	12174	165	13011	0.0126815771270463	0.000164284540824708	0.480277690123067	25352
289	2315	26	1762	263	553	0.475587703435805	0.0147559591373439	0.686635944700461	2604
68	2473	20	2020	48	453	0.105960264900662	0.0099009900990099	0.802833530106257	2541
752	114138	128	46840	624	67298	0.0092721923385539	0.00273270708795901	0.408808425450431	114890
73	15041	13	6332	60	8709	0.00688942473303479	0.00205306380290587	0.419809448193728	15114
106	8159	57	3874	49	4285	0.0114352392065344	0.0147134744450181	0.475620084694495	8265
6003	133	1507	109	4496	24	187.333333333333	13.8256880733945	0.263363754889179	6136
53050	590	13526	276	39524	314	125.872611464968	49.0072463768116	0.25730797912006	53640
42	2410	0	1391	42	1019	0.0412168792934249	0	0.567292006525285	2452
85	7958	10	4827	75	3131	0.0239540083040562	0.00207168013258753	0.601392515230635	8043
144	33089	12	13395	132	19694	0.00670254899969534	0.000895856662933931	0.403424307164565	33233
31901	310	5677	196	26224	114	230.035087719298	28.9642857142857	0.182329018037316	32211
880	3	23	2	857	1	857	11.5	0.028312570781427	883
46	1120	4	953	42	167	0.251497005988024	0.00419727177334732	0.820754716981132	1166
881	142750	273	38202	608	104548	0.00581551057887286	0.00714622271085283	0.267873926937778	143631
14	910	0	257	14	653	0.0214395099540582	0	0.278138528138528	924
132	24804	29	14607	103	10197	0.0101010101010101	0.00198534948997056	0.586942572986846	24936
80	864	39	670	41	194	0.211340206185567	0.0582089552238806	0.751059322033898	944
71786	324	14891	78	56895	246	231.280487804878	190.910256410256	0.207585633060602	72110
99	1651	5	1356	94	295	0.31864406779661	0.00368731563421829	0.777714285714286	1750
224	1591	22	968	202	623	0.324237560192616	0.0227272727272727	0.545454545454545	1815
15430	74	1495	11	13935	63	221.190476190476	135.909090909091	0.0971362229102167	15504
94	10036	20	7595	74	2441	0.0303154444899631	0.00263331138907176	0.75172754195459	10130
50	987	0	760	50	227	0.220264317180617	0	0.732883317261331	1037
1914	398	977	353	937	45	20.8222222222222	2.76770538243626	0.575259515570934	2312
37	8502	5	5861	32	2641	0.0121166224914805	0.000853096741170449	0.686965686848577	8539
39369	322	6802	199	32567	123	264.772357723577	34.1809045226131	0.176387594164924	39691
2247	10	1227	2	1020	8	127.5	613.5	0.544528134692069	2257
42361	97	7563	45	34798	52	669.192307692308	168.066666666667	0.179188845447266	42458
830	9817	286	7865	544	1952	0.278688524590164	0.0363636363636364	0.765567765567766	10647
19597	120	5002	26	14595	94	155.265957446808	192.384615384615	0.255008368413045	19717
186	11181	102	6136	84	5045	0.0166501486620416	0.0166232073011734	0.548781560658045	11367
11571	137	3399	91	8172	46	177.652173913043	37.3516483516484	0.298086778271268	11708
75	2381	53	575	22	1806	0.0121816168327796	0.0921739130434783	0.255700325732899	2456
99	39431	10	3112	89	36319	0.00245050799856824	0.0032133676092545	0.0789779913989375	39530
684	376	0	130	684	246	2.78048780487805	0	0.122641509433962	1060
241	6004	1	5005	240	999	0.24024024024024	0.0001998001998002	0.80160128102482	6245
38	9042	25	2547	13	6495	0.00200153964588145	0.00981546917942678	0.283259911894273	9080
67	2545	24	1796	43	749	0.0574098798397864	0.0133630289532294	0.696784073506891	2612
18	1631	4	1528	14	103	0.135922330097087	0.00261780104712042	0.929047907822923	1649
8128	154	5506	118	2622	36	72.8333333333333	46.6610169491525	0.679063028254045	8282
25782	318	5382	242	20400	76	268.421052631579	22.2396694214876	0.215478927203065	26100
22	1020	1	362	21	658	0.0319148936170213	0.00276243093922652	0.348368522072937	1042
14091	273	8817	216	5274	57	92.5263157894737	40.8194444444444	0.628863826232247	14364
41	786	8	252	33	534	0.0617977528089888	0.0317460317460317	0.314389359129383	827
2270	49	16	28	2254	21	107.333333333333	0.571428571428571	0.0189736955584304	2319
114	3016	20	2367	94	649	0.144838212634823	0.00844951415293621	0.762619808306709	3130
9	1611	6	1374	3	237	0.0126582278481013	0.00436681222707424	0.851851851851852	1620
493	14589	54	3262	439	11327	0.0387569524145846	0.0165542611894543	0.21986473942448	15082
72	495	38	149	34	346	0.0982658959537572	0.25503355704698	0.329805996472663	567
45	18780	21	13799	24	4981	0.00481830957639028	0.00152184940937749	0.734130146082337	18825
875	21	99	10	776	11	70.5454545454545	9.9	0.121651785714286	896
81750	559	24194	217	57556	342	168.292397660819	111.493087557604	0.29657753101119	82309
224	13347	20	9174	204	4173	0.0488856937455068	0.00218007412252017	0.677474025495542	13571
163	11585	65	918	98	10667	0.00918721289959689	0.0708061002178649	0.0836738168198842	11748
50	1231	5	938	45	293	0.15358361774744	0.00533049040511727	0.736143637782982	1281
126	4648	64	2021	62	2627	0.023601065854587	0.0316674913409203	0.436740678676163	4774
249	370	91	152	158	218	0.724770642201835	0.598684210526316	0.392568659127625	619
6140	115	122	73	6018	42	143.285714285714	1.67123287671233	0.0311750599520384	6255
87	2256	0	1514	87	742	0.117250673854447	0	0.646180110968843	2343
486	571	31	93	455	478	0.951882845188284	0.333333333333333	0.117313150425733	1057
90783	483	31641	140	59142	343	172.425655976676	226.007142857143	0.34822387307431	91266
56716	622	14252	163	42464	459	92.5141612200436	87.4355828220859	0.251403955491995	57338
86936	538	12248	279	74688	259	288.370656370656	43.8996415770609	0.143208267599515	87474
684	101795	53	48233	631	53562	0.0117807400769202	0.00109883274936247	0.471179461157896	102479
98	39950	17	20278	81	19672	0.004117527450183	0.00083834697701943	0.506766879744307	40048
16	1150	3	432	13	718	0.0181058495821727	0.00694444444444444	0.373070325900515	1166
6	1483	0	198	6	1285	0.0046692607003891	0	0.132975151108126	1489
1766	25	1143	22	623	3	207.666666666667	51.9545454545455	0.650474595198213	1791
490	16	135	2	355	14	25.3571428571429	67.5	0.270750988142292	506
1277	12	135	0	1142	12	95.1666666666667	Inf	0.104732350659426	1289
518	134147	108	11740	410	122407	0.00334948164729141	0.00919931856899489	0.0879812868971151	134665
56	3118	0	2815	56	303	0.184818481848185	0	0.886893509766856	3174
38	916	2	652	36	264	0.136363636363636	0.00306748466257669	0.685534591194969	954
831	2255	444	1342	387	913	0.423877327491785	0.330849478390462	0.578742709008425	3086
31	9082	24	4863	7	4219	0.00165916093861105	0.00493522516964837	0.536266871502249	9113
4474	187	1598	162	2876	25	115.04	9.8641975308642	0.377601373095902	4661
508	974	8	684	500	290	1.72413793103448	0.0116959064327485	0.46693657219973	1482
33491	232	6246	137	27245	95	286.789473684211	45.5912408759124	0.189277347804169	33723
1882	46	651	46	1231	0	Inf	14.1521739130435	0.361514522821577	1928
66	1805	12	1643	54	162	0.333333333333333	0.00730371272063299	0.884553714591128	1871
134	14671	57	5689	77	8982	0.0085727009574705	0.0100193355598523	0.388112124282337	14805
101	9338	9	4889	92	4449	0.0206788042256687	0.00184086725301698	0.518910901578557	9439
48	23296	2	8031	46	15265	0.00301342941369145	0.000249034989416013	0.344114119259767	23344
256	125781	55	50642	201	75139	0.00267504225502069	0.00108605505311797	0.4022390250482	126037
112	984	9	881	103	103	1	0.0102156640181612	0.812043795620438	1096
93	1541	13	404	80	1137	0.0703605980650836	0.0321782178217822	0.255201958384333	1634
8	1030	4	424	4	606	0.0066006600660066	0.00943396226415094	0.41233140655106	1038
4943	85	2738	66	2205	19	116.052631578947	41.4848484848485	0.557677008750994	5028
174	9192	4	6828	170	2364	0.071912013536379	0.000585823081429408	0.729446935724963	9366
71	3079	12	2219	59	860	0.0686046511627907	0.00540784136998648	0.708253968253968	3150
